Algorithm,Brain,Brain_ratio,Torso,Torso_ratio,Synthetic,Synthetic_ratio,Mouse,Mouse_ratio,Pinky,Pinky_ratio
MC,0.00,1.00,0.00,1.00,0.01,1.00,0.02,1.00,8.00,1.00
FE,0.02,19.00,0.09,46.00,0.14,18.74,1.16,66.11,8.20,1.03
MMSN,1.85,1890.88,8.99,4604.22,14.40,1945.41,128.23,7295.07,,
FESN,0.02,19.28,0.09,45.73,0.14,19.09,1.16,66.20,8.21,1.03
OSSN,0.02,20.00,0.09,46.29,0.14,18.90,1.16,66.21,8.20,1.03
