Algorithm,Brain,Brain_ratio,Torso,Torso_ratio,Synthetic,Synthetic_ratio,Mouse,Mouse_ratio,Pinky,Pinky_ratio
MC,0.25,2.37,0.28,1.48,1.36,2.72,15.93,3.18,13.09,1.00
FE,0.25,2.36,0.25,1.31,1.39,2.78,17.12,3.41,13.08,1.00
MMSN,1.85,17.32,8.99,47.65,14.40,28.72,128.43,25.60,,
FESN,0.17,1.56,0.26,1.38,0.76,1.52,7.78,1.55,16.57,1.27
OSSN,0.11,1.00,0.19,1.00,0.50,1.00,5.02,1.00,13.06,1.00
