Threads,FE,FESN,OSSN
1,1142.032,55.953,45.578
2,599.235,28.457,23.398
4,310.294,14.886,12.297
8,159.571,8.176,6.774
16,93.396,5.301,4.442
32,65.485,3.700,3.381
64,68.263,3.437,3.130
128,71.971,3.251,2.925
