Algorithm,Brain,Brain_ratio,Torso,Torso_ratio,Synthetic,Synthetic_ratio,Mouse,Mouse_ratio,Pinky,Pinky_ratio
MC,1.71,4.93,2.71,2.82,11.11,4.05,375.97,11.71,170.43,1.79
FE,3.97,11.44,6.00,6.24,13.81,5.03,568.93,17.73,1426.28,14.98
MMSN,4.19,12.06,10.62,11.04,25.68,9.36,296.01,9.22,,
FESN,0.39,1.13,1.12,1.16,3.53,1.28,39.63,1.23,143.29,1.50
OSSN,0.35,1.00,0.96,1.00,2.74,1.00,32.10,1.00,95.24,1.00
