Algorithm,Brain,Brain_ratio,Torso,Torso_ratio,Synthetic,Synthetic_ratio,Mouse,Mouse_ratio,Pinky,Pinky_ratio
MC,4.53,6.15,4.53,3.67,50.52,10.29,1435.46,31.48,360.19,2.69
FE,8.23,11.16,11.53,9.34,29.08,5.93,1142.03,25.05,2844.85,21.21
MMSN,4.97,6.74,11.06,8.96,29.06,5.92,372.27,8.16,,
FESN,0.84,1.14,1.46,1.18,6.33,1.29,55.95,1.23,204.45,1.52
OSSN,0.74,1.00,1.23,1.00,4.91,1.00,45.60,1.00,134.11,1.00
