Algorithm,Brain_N_L_1,Brain_N_L_1_ratio,Brain_N_L_half,Brain_N_L_half_ratio,Brain_N_L_max,Brain_N_L_max_ratio,Torso_N_L_1,Torso_N_L_1_ratio,Torso_N_L_half,Torso_N_L_half_ratio,Torso_N_L_max,Torso_N_L_max_ratio,Synthetic_N_L_1,Synthetic_N_L_1_ratio,Synthetic_N_L_half,Synthetic_N_L_half_ratio,Synthetic_N_L_max,Synthetic_N_L_max_ratio,Mouse_N_L_1,Mouse_N_L_1_ratio,Mouse_N_L_half,Mouse_N_L_half_ratio,Mouse_N_L_max,Mouse_N_L_max_ratio,Pinky_N_L_1,Pinky_N_L_1_ratio,Pinky_N_L_half,Pinky_N_L_half_ratio,Pinky_N_L_max,Pinky_N_L_max_ratio
MC,0.07,2.80,1.71,4.93,4.53,6.15,0.31,2.30,2.71,2.82,4.53,3.67,0.55,2.37,11.11,4.05,50.52,10.29,4.37,2.35,375.97,11.71,1435.46,31.48,31.05,2.35,170.43,1.79,360.19,2.69
FE,0.02,1.00,3.97,11.44,8.23,11.16,0.14,1.00,6.00,6.24,11.53,9.34,0.23,1.00,13.81,5.03,29.08,5.93,1.86,1.00,568.93,17.73,1142.03,25.05,13.22,1.00,1426.28,14.98,2844.85,21.21
MMSN,3.58,150.59,4.19,12.06,4.97,6.74,9.88,73.16,10.62,11.04,11.06,8.96,23.10,98.78,25.68,9.36,29.06,5.92,221.71,119.31,296.01,9.22,372.27,8.16,,,,,,
FESN,0.04,1.78,0.39,1.13,0.84,1.14,0.22,1.62,1.12,1.16,1.46,1.18,0.39,1.67,3.53,1.28,6.33,1.29,3.16,1.70,39.63,1.23,55.95,1.23,20.94,1.58,143.29,1.50,204.45,1.52
OSSN,0.04,1.75,0.35,1.00,0.74,1.00,0.22,1.62,0.96,1.00,1.23,1.00,0.38,1.64,2.74,1.00,4.91,1.00,3.23,1.74,32.10,1.00,45.60,1.00,20.60,1.56,95.24,1.00,134.11,1.00
