Algorithm,Brain_N_L_1,Brain_N_L_1_ratio,Brain_N_L_half,Brain_N_L_half_ratio,Brain_N_L_max,Brain_N_L_max_ratio,Torso_N_L_1,Torso_N_L_1_ratio,Torso_N_L_half,Torso_N_L_half_ratio,Torso_N_L_max,Torso_N_L_max_ratio,Synthetic_N_L_1,Synthetic_N_L_1_ratio,Synthetic_N_L_half,Synthetic_N_L_half_ratio,Synthetic_N_L_max,Synthetic_N_L_max_ratio,Mouse_N_L_1,Mouse_N_L_1_ratio,Mouse_N_L_half,Mouse_N_L_half_ratio,Mouse_N_L_max,Mouse_N_L_max_ratio,Pinky_N_L_1,Pinky_N_L_1_ratio,Pinky_N_L_half,Pinky_N_L_half_ratio,Pinky_N_L_max,Pinky_N_L_max_ratio
FE,0.01,1.00,0.32,8.96,0.73,11.52,0.02,1.00,0.59,4.46,1.15,8.00,0.02,1.00,1.24,4.50,2.55,5.78,0.14,1.00,34.61,15.50,69.12,22.13,0.89,1.00,82.41,9.10,163.81,15.70
FESN,0.01,1.74,0.04,1.00,0.07,1.16,0.10,5.67,0.14,1.04,0.17,1.17,0.13,5.37,0.35,1.26,0.46,1.05,0.91,6.42,2.53,1.13,3.48,1.11,5.48,6.13,10.33,1.14,12.89,1.24
OSSN,0.01,1.76,0.04,1.04,0.06,1.00,0.09,5.16,0.13,1.00,0.14,1.00,0.12,5.00,0.28,1.00,0.44,1.00,0.87,6.08,2.23,1.00,3.12,1.00,5.34,5.98,9.06,1.00,10.43,1.00
