Algorithm,Brain,Brain_ratio,Torso,Torso_ratio,Synthetic,Synthetic_ratio,Mouse,Mouse_ratio,Pinky,Pinky_ratio
FE,0.32,8.96,0.59,4.46,1.24,4.50,34.61,15.50,82.41,9.10
FESN,0.04,1.00,0.14,1.04,0.35,1.26,2.53,1.13,10.33,1.14
OSSN,0.04,1.04,0.13,1.00,0.28,1.00,2.23,1.00,9.06,1.00
