Algorithm,Brain,Brain_ratio,Torso,Torso_ratio,Synthetic,Synthetic_ratio,Mouse,Mouse_ratio,Pinky,Pinky_ratio
MC,0.07,2.80,0.31,2.30,0.55,2.37,4.37,2.35,31.05,2.35
FE,0.02,1.00,0.14,1.00,0.23,1.00,1.86,1.00,13.22,1.00
MMSN,3.58,150.59,9.88,73.16,23.10,98.78,221.71,119.31,,
FESN,0.04,1.78,0.22,1.62,0.39,1.67,3.16,1.70,20.94,1.58
OSSN,0.04,1.75,0.22,1.62,0.38,1.64,3.23,1.74,20.60,1.56
